symptoms,disease,symptoms_processed
"vomiting,breathlessness,sweating,chest pain",Heart Attack,vomit breathlessness sweat chest pain
"joint pain,yellowish skin,dark urine,nausea,loss of appetite,abdominal pain,diarrhoea,mild fever,yellowing of eyes,muscle pain",Hepatitis A,joint pain yellowish skin dark urine nausea loss appetite abdominal pain diarrhoea mild fever yellow eye muscle pain
"stomach pain,acidity,ulcers on tongue,vomiting,cough,chest pain",Gerd,stomach pain acidity ulcer tongue vomit cough chest pain
"chills,vomiting,high fever,sweating,headache,nausea,diarrhoea,muscle pain",Malaria,chill vomit high fever sweat headache nausea diarrhoea muscle pain
I have a sore on my nose that has crusted over and is hard to touch. It used to leak a yellow-rust colored fluid and it is taking a lot longer to deal with using medication.,Impetigo,sore nose crust hard touch use leak yellow rust color fluid take lot long deal use medication
"headache,weakness of one body side,altered sensorium",Paralysis (Brain Hemorrhage),headache weakness one body side alter sensorium
"fatigue,yellowish skin,nausea,loss of appetite,yellowing of eyes,family history",Hepatitis C,fatigue yellowish skin nausea loss appetite yellow eye family history
"itching,skin rash,nodal skin eruptions,dischromic  patches",Fungal Infection,itch skin rash nodal skin eruption dischromic patch
i have been suffering from dry cough and difficulty in breathing for a week now. i also feel weak throughout the day.,Bronchial Asthma,suffer dry cough difficulty breathe week also feel weak throughout day
"vomiting,headache,weakness of one body side,altered sensorium",Paralysis (Brain Hemorrhage),vomit headache weakness one body side alter sensorium
"fatigue,cough,high fever,breathlessness,family history,mucoid sputum",Bronchial Asthma,fatigue cough high fever breathlessness family history mucoid sputum
"yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,history of alcohol consumption,fluid overload",Alcoholic Hepatitis,yellowish skin abdominal pain swell stomach distention abdomen history alcohol consumption fluid overload
"chills,vomiting,fatigue,weight loss,cough,high fever,breathlessness,loss of appetite,mild fever,yellowing of eyes,swelled lymph nodes,malaise,phlegm,chest pain,blood in sputum",Tuberculosis,chill vomit fatigue weight loss cough high fever breathlessness loss appetite mild fever yellow eye swell lymph node malaise phlegm chest pain blood sputum
"itching,stomach pain,burning micturition,spotting  urination",Drug Reaction,itch stomach pain burn micturition spot urination
"sunken eyes,dehydration,diarrhoea",Gastroenteritis,sunken eye dehydration diarrhoea
"continuous sneezing,chills,watering from eyes",Allergy,continuous sneeze chill water eye
"itching,vomiting,yellowish skin,nausea,loss of appetite,abdominal pain,yellowing of eyes",Chronic Cholestasis,itch vomit yellowish skin nausea loss appetite abdominal pain yellow eye
"skin rash,chills,joint pain,vomiting,fatigue,high fever,headache,nausea,loss of appetite,pain behind the eyes,back pain,malaise,muscle pain,red spots over body",Dengue,skin rash chill joint pain vomit fatigue high fever headache nausea loss appetite pain behind eye back pain malaise muscle pain red spot body
"joint pain,vomiting,yellowish skin,dark urine,loss of appetite,abdominal pain,diarrhoea,mild fever,yellowing of eyes,muscle pain",Hepatitis A,joint pain vomit yellowish skin dark urine loss appetite abdominal pain diarrhoea mild fever yellow eye muscle pain
"joint pain,vomiting,fatigue,yellowish skin,dark urine,nausea,loss of appetite,abdominal pain,yellowing of eyes",Hepatitis D,joint pain vomit fatigue yellowish skin dark urine nausea loss appetite abdominal pain yellow eye
"I've been feeling really unwell recently. I've had a high temperature, chills, a cough, and I've been struggling to breathe. I've also been sweating a lot and feeling really weak and tired. I've also had some thick, red phlegm.",Pneumonia,feel really unwell recently high temperature chill cough struggle breathe also sweat lot feel really weak tire also thick red phlegm
"fatigue,cough,high fever,breathlessness,family history,mucoid sputum",Bronchial Asthma,fatigue cough high fever breathlessness family history mucoid sputum
"continuous sneezing,shivering,chills,watering from eyes",Allergy,continuous sneeze shiver chill water eye
"headache,chest pain,dizziness,loss of balance,lack of concentration",Hypertension,headache chest pain dizziness loss balance lack concentration
"joint pain,vomiting,fatigue,yellowish skin,dark urine,nausea,loss of appetite,abdominal pain,yellowing of eyes",Hepatitis D,joint pain vomit fatigue yellowish skin dark urine nausea loss appetite abdominal pain yellow eye
"itching,vomiting,yellowish skin,nausea,loss of appetite,abdominal pain,yellowing of eyes",Chronic Cholestasis,itch vomit yellowish skin nausea loss appetite abdominal pain yellow eye
"continuous sneezing,shivering,chills,watering from eyes",Allergy,continuous sneeze shiver chill water eye
"chills,vomiting,fatigue,high fever,headache,nausea,constipation,abdominal pain,diarrhoea,toxic look (typhos)",Typhoid,chill vomit fatigue high fever headache nausea constipation abdominal pain diarrhoea toxic look typhos
"vomiting,sunken eyes,dehydration,diarrhoea",Gastroenteritis,vomit sunken eye dehydration diarrhoea
"muscle weakness,swelling joints,movement stiffness,painful walking",Arthritis,muscle weakness swell joint movement stiffness painful walking
"vomiting,yellowish skin,swelling of stomach,distention of abdomen,history of alcohol consumption,fluid overload",Alcoholic Hepatitis,vomit yellowish skin swell stomach distention abdomen history alcohol consumption fluid overload
"constipation,pain during bowel movements,pain in anal region,bloody stool,irritation in anus",Dimorphic Hemmorhoids(Piles),constipation pain bowel movement pain anal region bloody stool irritation anus
"itching,skin rash,stomach pain,burning micturition,spotting  urination",Drug Reaction,itch skin rash stomach pain burn micturition spot urination
"joint pain,vomiting,yellowish skin,dark urine,nausea,loss of appetite,abdominal pain,diarrhoea,mild fever,yellowing of eyes,muscle pain",Hepatitis A,joint pain vomit yellowish skin dark urine nausea loss appetite abdominal pain diarrhoea mild fever yellow eye muscle pain
"joint pain,yellowish skin,dark urine,nausea,loss of appetite,abdominal pain,diarrhoea,mild fever,yellowing of eyes,muscle pain",Hepatitis A,joint pain yellowish skin dark urine nausea loss appetite abdominal pain diarrhoea mild fever yellow eye muscle pain
"joint pain,vomiting,yellowish skin,dark urine,nausea,loss of appetite,abdominal pain,diarrhoea,mild fever,yellowing of eyes,muscle pain",Hepatitis A,joint pain vomit yellowish skin dark urine nausea loss appetite abdominal pain diarrhoea mild fever yellow eye muscle pain
"fatigue,mood swings,restlessness,sweating,diarrhoea,fast heart rate,excessive hunger,muscle weakness,irritability,abnormal menstruation",Hyperthyroidism,fatigue mood swing restlessness sweat diarrhoea fast heart rate excessive hunger muscle weakness irritability abnormal menstruation
"continuous sneezing,chills,fatigue,cough,high fever,headache,swelled lymph nodes,malaise,phlegm,throat irritation,redness of eyes,sinus pressure,runny nose,congestion,chest pain,loss of smell,muscle pain",Common Cold,continuous sneeze chill fatigue cough high fever headache swell lymph node malaise phlegm throat irritation redness eye sinus pressure runny nose congestion chest pain loss smell muscle pain
"back pain,weakness in limbs,neck pain,dizziness,loss of balance",Cervical Spondylosis,back pain weakness limb neck pain dizziness loss balance
"vomiting,headache,nausea,spinning movements,loss of balance,unsteadiness",(Vertigo) Paroymsal  Positional Vertigo,vomit headache nausea spin movement loss balance unsteadiness
"skin rash,joint pain,skin peeling,silver like dusting,small dents in nails",Psoriasis,skin rash joint pain skin peeling silver like dust small dent nail
"itching,vomiting,fatigue,weight loss,high fever,yellowish skin,dark urine,abdominal pain",Jaundice,itch vomit fatigue weight loss high fever yellowish skin dark urine abdominal pain
"itching,skin rash,fatigue,lethargy,high fever,headache,loss of appetite,mild fever,swelled lymph nodes,malaise,red spots over body",Chicken Pox,itch skin rash fatigue lethargy high fever headache loss appetite mild fever swell lymph node malaise red spot body
"joint pain,vomiting,fatigue,high fever,yellowish skin,dark urine,nausea,loss of appetite,abdominal pain,yellowing of eyes,acute liver failure,coma,stomach bleeding",Hepatitis E,joint pain vomit fatigue high fever yellowish skin dark urine nausea loss appetite abdominal pain yellow eye acute liver failure coma stomach bleeding
"vomiting,fatigue,anxiety,sweating,headache,nausea,blurred and distorted vision,excessive hunger,drying and tingling lips,slurred speech,irritability,palpitations",Hypoglycemia,vomit fatigue anxiety sweat headache nausea blur distorted vision excessive hunger dry tingle lip slur speech irritability palpitation
"I have been feeling very sick. I have been vomiting, I have a fever, and I have been itching all over. My skin has turned yellow, and my urine is dark. I have also been having abdominal pain.",Jaundice,feel sick vomit fever itch skin turn yellow urine dark also abdominal pain
"I have been feeling very sick lately. I have been having severe itching, vomiting, and fatigue. I have also lost weight and have a high fever. My skin has turned yellow and my urine is dark. I am also experiencing abdominal pain.",Jaundice,feel sick lately severe itch vomit fatigue also lose weight high fever skin turn yellow urine dark also experience abdominal pain
"vomiting,headache,nausea,spinning movements,loss of balance,unsteadiness",(Vertigo) Paroymsal  Positional Vertigo,vomit headache nausea spin movement loss balance unsteadiness
"back pain,weakness in limbs,neck pain,dizziness",Cervical Spondylosis,back pain weakness limb neck pain dizziness
"I've been feeling really weak and cold lately, and this cough won't go away. It hurts in my chest when I cough, and my heart is pounding. I've been coughing up mucus that's a rusty brown color.",Pneumonia,feel really weak cold lately cough go away hurt chest cough heart pound cough mucus rusty brown color
"vomiting,fatigue,anxiety,sweating,headache,nausea,blurred and distorted vision,excessive hunger,drying and tingling lips,slurred speech,irritability,palpitations",Hypoglycemia,vomit fatigue anxiety sweat headache nausea blur distorted vision excessive hunger dry tingle lip slur speech irritability palpitation
"I'm having trouble concentrating and my emotions are all over the place. My mind feels cloudy and foggy at times, making it hard to do even simple tasks.",Diabetes,trouble concentrate emotion place mind feel cloudy foggy time make hard even simple task
"skin rash,high fever,blister,red sore around nose,yellow crust ooze",Impetigo,skin rash high fever blister red sore around nose yellow crust ooze
"muscle weakness,stiff neck,swelling joints,movement stiffness,painful walking",Arthritis,muscle weakness stiff neck swell joint movement stiffness painful walking
I have a fever and my back hurts. I also have rashes on my arms and armpits. The back of my eyeballs hurt a lot. I'm worried about my health.,Dengue,fever back hurt also rash arm armpit back eyeball hurt lot worry health
"My muscles are weak, and my neck is tight. My joints are swollen and it hurts to move.",Arthritis,muscle weak neck tight joint swollen hurt move
"skin rash,joint pain,skin peeling,silver like dusting,small dents in nails,inflammatory nails",Psoriasis,skin rash joint pain skin peeling silver like dust small dent nails inflammatory nail
"chills,vomiting,high fever,sweating,headache,nausea,diarrhoea,muscle pain",Malaria,chill vomit high fever sweat headache nausea diarrhoea muscle pain
"chills,vomiting,fatigue,weight loss,cough,high fever,breathlessness,sweating,loss of appetite,mild fever,yellowing of eyes,swelled lymph nodes,malaise,phlegm,chest pain,blood in sputum",Tuberculosis,chill vomit fatigue weight loss cough high fever breathlessness sweat loss appetite mild fever yellow eye swell lymph node malaise phlegm chest pain blood sputum
"fatigue,mood swings,weight loss,restlessness,sweating,diarrhoea,fast heart rate,excessive hunger,muscle weakness,irritability,abnormal menstruation",Hyperthyroidism,fatigue mood swing weight loss restlessness sweat diarrhoea fast heart rate excessive hunger muscle weakness irritability abnormal menstruation
"chest pain,dizziness,loss of balance,lack of concentration",Hypertension,chest pain dizziness loss balance lack concentration
"fatigue,cough,high fever,breathlessness,family history,mucoid sputum",Bronchial Asthma,fatigue cough high fever breathlessness family history mucoid sputum
"continuous sneezing,chills,fatigue,cough,high fever,headache,swelled lymph nodes,malaise,phlegm,throat irritation,redness of eyes,sinus pressure,runny nose,congestion,chest pain,loss of smell,muscle pain",Common Cold,continuous sneeze chill fatigue cough high fever headache swell lymph node malaise phlegm throat irritation redness eye sinus pressure runny nose congestion chest pain loss smell muscle pain
I've been having a lot of pain in my neck and back. I also feel dizzy and weak.,Cervical Spondylosis,lot pain neck back also feel dizzy weak
"fatigue,weight loss,restlessness,lethargy,blurred and distorted vision,obesity,excessive hunger,increased appetite,polyuria",Diabetes,fatigue weight loss restlessness lethargy blur distorted vision obesity excessive hunger increase appetite polyuria
"back pain,weakness in limbs,neck pain,dizziness,loss of balance",Cervical Spondylosis,back pain weakness limb neck pain dizziness loss balance
"skin rash,pus filled pimples,blackheads,scurring",Acne,skin rash pu fill pimple blackhead scurring
"The signs and symptoms of pneumonia vary from mild to severe, depending on factors such as the type of germ causing the infection, and your age and overall health. Mild signs and symptoms often are similar to those of a cold or flu, but they last longer. Signs and symptoms of pneumonia may include:  Chest pain when you breathe or cough Confusion or changes in mental awareness (in adults age 65 and older) Cough, which may produce phlegm Fatigue Fever, sweating and shaking chills Lower than normal body temperature (in adults older than age 65 and people with weak immune systems) Nausea, vomiting or diarrhea Shortness of breath  Newborns and infants may not show any sign of the infection. Or they may vomit, have a fever and cough, appear restless or tired and without energy, or have difficulty breathing and eating. When to see a doctor See your doctor if you have difficulty breathing, chest pain, persistent fever of 102 F (39 C) or higher, or persistent cough, especially if you're coughing up pus. It's especially important that people in these high-risk groups see a doctor:  Adults older than age 65 Children younger than age 2 with signs and symptoms People with an underlying health condition or weakened immune system People receiving chemotherapy or taking medication that suppresses the immune system  For some older adults and people with heart failure or chronic lung problems, pneumonia can quickly become a life-threatening condition.",Pneumonia,sign symptom pneumonia vary mild severe depend factor type germ cause infection age overall health mild sign symptom often similar cold flu last long sign symptom pneumonia may include chest pain breathe cough confusion change mental awareness adult age 65 old cough may produce phlegm fatigue fever sweat shake chill low normal body temperature adult old age 65 people weak immune system nausea vomit diarrhea shortness breath newborn infant may show sign infection may vomit fever cough appear restless tire without energy difficulty breathe eat see doctor see doctor difficulty breathe chest pain persistent fever 102 39 high persistent cough especially cough pu especially important people high risk group see doctor adult old age 65 child young age sign symptoms people underlie health condition weaken immune system people receive chemotherapy take medication suppresses immune system old adult people heart failure chronic lung problem pneumonia quickly become life threaten condition
"chills,fatigue,cough,high fever,breathlessness,sweating,malaise,phlegm,chest pain,fast heart rate,rusty sputum",Pneumonia,chill fatigue cough high fever breathlessness sweat malaise phlegm chest pain fast heart rate rusty sputum
"muscle wasting,patches in throat,high fever,extra marital contacts",Aids,muscle waste patch throat high fever extra marital contact
"continuous sneezing,chills,fatigue,cough,high fever,headache,swelled lymph nodes,malaise,phlegm,throat irritation,redness of eyes,sinus pressure,runny nose,congestion,chest pain,loss of smell,muscle pain",Common Cold,continuous sneeze chill fatigue cough high fever headache swell lymph node malaise phlegm throat irritation redness eye sinus pressure runny nose congestion chest pain loss smell muscle pain
"chest pain,dizziness,loss of balance,lack of concentration",Hypertension,chest pain dizziness loss balance lack concentration
"itching,nodal skin eruptions,dischromic  patches",Fungal Infection,itch nodal skin eruption dischromic patch
"vomiting,sunken eyes,dehydration,diarrhoea",Gastroenteritis,vomit sunken eye dehydration diarrhoea
"chills,fatigue,cough,high fever,breathlessness,sweating,malaise,phlegm,chest pain,fast heart rate,rusty sputum",Pneumonia,chill fatigue cough high fever breathlessness sweat malaise phlegm chest pain fast heart rate rusty sputum
"I have been experiencing neck pain, weakness in my arms and legs, and a persistent cough. I also have balance issues and dizziness.",Cervical Spondylosis,experience neck pain weakness arm legs persistent cough also balance issue dizziness
"fatigue,weight gain,cold hands and feets,mood swings,lethargy,dizziness,puffy face and eyes,enlarged thyroid,brittle nails,swollen extremeties,depression,irritability,abnormal menstruation",Hypothyroidism,fatigue weight gain cold hand feets mood swing lethargy dizziness puffy face eye enlarge thyroid brittle nail swollen extremeties depression irritability abnormal menstruation
"fatigue,weight loss,restlessness,irregular sugar level,blurred and distorted vision,obesity,excessive hunger,increased appetite,polyuria",Diabetes,fatigue weight loss restlessness irregular sugar level blur distorted vision obesity excessive hunger increase appetite polyuria
"skin rash,chills,joint pain,vomiting,fatigue,high fever,headache,nausea,loss of appetite,pain behind the eyes,back pain,malaise,muscle pain,red spots over body",Dengue,skin rash chill joint pain vomit fatigue high fever headache nausea loss appetite pain behind eye back pain malaise muscle pain red spot body
I've been experiencing joint pain and skin peeling. I'm worried about what's going on with my body.,Psoriasis,experience joint pain skin peeling worry go body
"stomach pain,acidity,ulcers on tongue,vomiting,cough,chest pain",Gerd,stomach pain acidity ulcer tongue vomit cough chest pain
"acidity,indigestion,headache,blurred and distorted vision,excessive hunger,stiff neck,depression,irritability,visual disturbances",Migraine,acidity indigestion headache blur distorted vision excessive hunger stiff neck depression irritability visual disturbance
"I've been feeling weak and achy lately, and my joints are swollen and stiff. It's hard to move around, and walking is especially painful.",Arthritis,feel weak achy lately joint swell stiff hard move around walk especially painful
I have been having a lot of pain in my back and neck. I also have a cough that produces phlegm and I feel weak and dizzy.,Cervical Spondylosis,lot pain back neck also cough produce phlegm feel weak dizzy
My muscles are weak and my neck is tight. I have swollen joints and it is hard to move around without getting stiff. It is also hard to walk.,Arthritis,muscle weak neck tight swollen joint hard move around without get stiff also hard walk
"muscle wasting,patches in throat,high fever,extra marital contacts",Aids,muscle waste patch throat high fever extra marital contact
"joint pain,vomiting,fatigue,yellowish skin,nausea,loss of appetite,abdominal pain,yellowing of eyes",Hepatitis D,joint pain vomit fatigue yellowish skin nausea loss appetite abdominal pain yellow eye
"fatigue,cough,high fever,breathlessness,family history",Bronchial Asthma,fatigue cough high fever breathlessness family history
"chills,vomiting,fatigue,high fever,headache,nausea,constipation,abdominal pain,diarrhoea,toxic look (typhos),belly pain",Typhoid,"chill vomit fatigue high fever headache nausea constipation abdominal pain diarrhoea toxic look typhos ), belly pain"
"joint pain,vomiting,fatigue,yellowish skin,dark urine,nausea,loss of appetite,yellowing of eyes",Hepatitis D,joint pain vomit fatigue yellowish skin dark urine nausea loss appetite yellow eye
"itching,fatigue,lethargy,yellowish skin,dark urine,loss of appetite,abdominal pain,yellow urine,yellowing of eyes,malaise,receiving blood transfusion,receiving unsterile injections",Hepatitis B,itch fatigue lethargy yellowish skin dark urine loss appetite abdominal pain yellow urine yellow eye malaise receive blood transfusion receive unsterile injection
"joint pain,vomiting,fatigue,yellowish skin,dark urine,nausea,loss of appetite,abdominal pain,yellowing of eyes",Hepatitis D,joint pain vomit fatigue yellowish skin dark urine nausea loss appetite abdominal pain yellow eye
"chills,fatigue,cough,high fever,breathlessness,sweating,malaise,phlegm,chest pain,fast heart rate,rusty sputum",Pneumonia,chill fatigue cough high fever breathlessness sweat malaise phlegm chest pain fast heart rate rusty sputum
"fatigue,lethargy,yellowish skin,dark urine,loss of appetite,abdominal pain,yellow urine,yellowing of eyes,malaise,receiving blood transfusion,receiving unsterile injections",Hepatitis B,fatigue lethargy yellowish skin dark urine loss appetite abdominal pain yellow urine yellow eye malaise receive blood transfusion receive unsterile injection
"muscle weakness,stiff neck,swelling joints,movement stiffness,painful walking",Arthritis,muscle weakness stiff neck swell joint movement stiffness painful walking
"chills,vomiting,high fever,sweating,headache,nausea,diarrhoea,muscle pain",Malaria,chill vomit high fever sweat headache nausea diarrhoea muscle pain
"joint pain,vomiting,fatigue,high fever,dark urine,nausea,loss of appetite,abdominal pain,yellowing of eyes,acute liver failure,coma,stomach bleeding",Hepatitis E,joint pain vomit fatigue high fever dark urine nausea loss appetite abdominal pain yellow eye acute liver failure coma stomach bleeding
"itching,vomiting,fatigue,weight loss,high fever,yellowish skin,dark urine,abdominal pain",Jaundice,itch vomit fatigue weight loss high fever yellowish skin dark urine abdominal pain
"itching,fatigue,lethargy,yellowish skin,dark urine,loss of appetite,abdominal pain,yellow urine,yellowing of eyes,malaise,receiving blood transfusion,receiving unsterile injections",Hepatitis B,itch fatigue lethargy yellowish skin dark urine loss appetite abdominal pain yellow urine yellow eye malaise receive blood transfusion receive unsterile injection
"I've been having blood in my urine. I also feel sick after I pee, and I've been running a fever.",Urinary Tract Infection,blood urine also feel sick pee run fever
"I'm having trouble breathing, especially when I exercise. I'm sweating and flushed a lot, and I've been getting yeast infections a lot.",Diabetes,trouble breathe especially exercise sweat flush lot get yeast infection lot
I have a rash on my face and near my nose. It's been there for a few days and it's starting to spread down my arms and legs.,Impetigo,rash face near nose day start spread arm leg
"itching,vomiting,fatigue,weight loss,high fever,yellowish skin,dark urine,abdominal pain",Jaundice,itch vomit fatigue weight loss high fever yellowish skin dark urine abdominal pain
"chills,vomiting,fatigue,weight loss,cough,high fever,breathlessness,sweating,loss of appetite,mild fever,yellowing of eyes,swelled lymph nodes,malaise,phlegm,chest pain,blood in sputum",Tuberculosis,chill vomit fatigue weight loss cough high fever breathlessness sweat loss appetite mild fever yellow eye swell lymph node malaise phlegm chest pain blood sputum
"vomiting,headache,nausea,spinning movements,loss of balance,unsteadiness",(Vertigo) Paroymsal  Positional Vertigo,vomit headache nausea spin movement loss balance unsteadiness
"patches in throat,high fever,extra marital contacts",Aids,patch throat high fever extra marital contact
I'm having trouble breathing and I feel like I'm drowning. I'm coughing up a lot of phlegm and my chest hurts. I'm also sweating a lot and my heart is racing.,Pneumonia,trouble breathe feel like drown cough lot phlegm chest hurt also sweat lot heart race
"constipation,pain during bowel movements,pain in anal region,bloody stool,irritation in anus",Dimorphic Hemmorhoids(Piles),constipation pain bowel movement pain anal region bloody stool irritation anus
"itching,skin rash,stomach pain,burning micturition,spotting  urination",Drug Reaction,itch skin rash stomach pain burn micturition spot urination
"fatigue,weight loss,restlessness,irregular sugar level,blurred and distorted vision,obesity,excessive hunger,increased appetite,polyuria",Diabetes,fatigue weight loss restlessness irregular sugar level blur distorted vision obesity excessive hunger increase appetite polyuria
"continuous sneezing,chills,fatigue,cough,high fever,headache,swelled lymph nodes,malaise,phlegm,throat irritation,redness of eyes,sinus pressure,runny nose,congestion,chest pain,loss of smell,muscle pain",Common Cold,continuous sneeze chill fatigue cough high fever headache swell lymph node malaise phlegm throat irritation redness eye sinus pressure runny nose congestion chest pain loss smell muscle pain
I'm tired and my neck feels swollen. My eyes are bloodshot and my throat is scratchy. My nose is stuffed up and my face feels like it's under pressure. I can't smell anything and my chest hurts.,Common Cold,tire neck feel swell eye bloodshot throat scratchy nose stuffed face feel like pressure smell anything chest hurt
"burning micturition,bladder discomfort,foul smell of urine,continuous feel of urine",Urinary Tract Infection,burn micturition bladder discomfort foul smell urine continuous feel urine
"chills,vomiting,fatigue,high fever,headache,nausea,constipation,abdominal pain,diarrhoea,toxic look (typhos),belly pain",Typhoid,"chill vomit fatigue high fever headache nausea constipation abdominal pain diarrhoea toxic look typhos ), belly pain"
"skin rash,pus filled pimples,blackheads,scurring",Acne,skin rash pu fill pimple blackhead scurring
"constipation,pain during bowel movements,pain in anal region,bloody stool,irritation in anus",Dimorphic Hemmorhoids(Piles),constipation pain bowel movement pain anal region bloody stool irritation anus
"continuous sneezing,shivering,chills,watering from eyes",Allergy,continuous sneeze shiver chill water eye
"I've been having a lot of joint pain, and it's been really hard to walk. I've also lost my appetite, and I feel really weak and nauseous.",Dengue,lot joint pain really hard walk also lose appetite feel really weak nauseous
"burning micturition,bladder discomfort,foul smell of urine,continuous feel of urine",Urinary Tract Infection,burn micturition bladder discomfort foul smell urine continuous feel urine
"joint pain,vomiting,yellowish skin,dark urine,nausea,loss of appetite,abdominal pain,diarrhoea,mild fever,yellowing of eyes,muscle pain",Hepatitis A,joint pain vomit yellowish skin dark urine nausea loss appetite abdominal pain diarrhoea mild fever yellow eye muscle pain
"itching,vomiting,fatigue,weight loss,high fever,dark urine,abdominal pain",Jaundice,itch vomit fatigue weight loss high fever dark urine abdominal pain
"joint pain,vomiting,fatigue,yellowish skin,dark urine,nausea,loss of appetite,abdominal pain,yellowing of eyes",Hepatitis D,joint pain vomit fatigue yellowish skin dark urine nausea loss appetite abdominal pain yellow eye
"itching,skin rash,fatigue,lethargy,high fever,headache,loss of appetite,mild fever,swelled lymph nodes,malaise,red spots over body",Chicken Pox,itch skin rash fatigue lethargy high fever headache loss appetite mild fever swell lymph node malaise red spot body
"vomiting,yellowish skin,abdominal pain,swelling of stomach,distention of abdomen,fluid overload",Alcoholic Hepatitis,vomit yellowish skin abdominal pain swell stomach distention abdomen fluid overload
"joint pain,vomiting,yellowish skin,dark urine,nausea,loss of appetite,abdominal pain,diarrhoea,mild fever,yellowing of eyes,muscle pain",Hepatitis A,joint pain vomit yellowish skin dark urine nausea loss appetite abdominal pain diarrhoea mild fever yellow eye muscle pain
"muscle wasting,patches in throat,high fever",Aids,muscle waste patch throat high fever
"continuous sneezing,chills,fatigue,cough,high fever,headache,swelled lymph nodes,malaise,phlegm,throat irritation,redness of eyes,sinus pressure,runny nose,congestion,chest pain,loss of smell,muscle pain",Common Cold,continuous sneeze chill fatigue cough high fever headache swell lymph node malaise phlegm throat irritation redness eye sinus pressure runny nose congestion chest pain loss smell muscle pain
"vomiting,breathlessness,sweating,chest pain",Heart Attack,vomit breathlessness sweat chest pain
"fatigue,cramps,bruising,obesity,swollen legs,prominent veins on calf",Varicose Veins,fatigue cramp bruise obesity swell legs prominent vein calf
"joint pain,vomiting,fatigue,yellowish skin,dark urine,nausea,loss of appetite,abdominal pain,yellowing of eyes",Hepatitis D,joint pain vomit fatigue yellowish skin dark urine nausea loss appetite abdominal pain yellow eye
"continuous sneezing,chills,fatigue,high fever,headache,swelled lymph nodes,malaise,phlegm,throat irritation,redness of eyes,sinus pressure,runny nose,congestion,chest pain,loss of smell,muscle pain",Common Cold,continuous sneeze chill fatigue high fever headache swell lymph node malaise phlegm throat irritation redness eye sinus pressure runny nose congestion chest pain loss smell muscle pain
"skin rash,chills,joint pain,vomiting,high fever,headache,nausea,loss of appetite,pain behind the eyes,back pain,malaise,muscle pain,red spots over body",Dengue,skin rash chill joint pain vomit high fever headache nausea loss appetite pain behind eye back pain malaise muscle pain red spot body
"acidity,indigestion,headache,blurred and distorted vision,excessive hunger,stiff neck,depression,irritability,visual disturbances",Migraine,acidity indigestion headache blur distorted vision excessive hunger stiff neck depression irritability visual disturbance
"itching,vomiting,fatigue,weight loss,high fever,yellowish skin,dark urine,abdominal pain",Jaundice,itch vomit fatigue weight loss high fever yellowish skin dark urine abdominal pain
"fatigue,yellowish skin,nausea,loss of appetite,yellowing of eyes,family history",Hepatitis C,fatigue yellowish skin nausea loss appetite yellow eye family history
"fatigue,weight gain,cold hands and feets,mood swings,lethargy,dizziness,puffy face and eyes,enlarged thyroid,brittle nails,swollen extremeties,depression,irritability,abnormal menstruation",Hypothyroidism,fatigue weight gain cold hand feets mood swing lethargy dizziness puffy face eye enlarge thyroid brittle nail swollen extremeties depression irritability abnormal menstruation
"I've lost a lot of blood and iron because of my bloody stools, and now I have anaemia and feel weak.",Peptic Ulcer Disease,lose lot blood iron bloody stool anaemia feel weak
"I've been having trouble breathing, coughing, and feeling exhausted. I've been coughing up a lot of thick, mucusy stuff and have a fever. I'm just feeling really drained and tired.",Bronchial Asthma,trouble breathe cough feeling exhaust cough lot thick mucusy stuff fever feel really drain tire
My neck has been really tight and my muscles have felt weak. I can't move around without getting stiff and my joints are swollen. Walking is really uncomfortable.,Arthritis,neck really tight muscle felt weak move around without get stiff joint swell walk really uncomfortable
"muscle wasting,patches in throat,high fever,extra marital contacts",Aids,muscle waste patch throat high fever extra marital contact
"itching,vomiting,fatigue,weight loss,high fever,yellowish skin,dark urine,abdominal pain",Jaundice,itch vomit fatigue weight loss high fever yellowish skin dark urine abdominal pain
"joint pain,vomiting,fatigue,yellowish skin,dark urine,nausea,loss of appetite,abdominal pain,yellowing of eyes",Hepatitis D,joint pain vomit fatigue yellowish skin dark urine nausea loss appetite abdominal pain yellow eye
"back pain,weakness in limbs,neck pain,dizziness,loss of balance",Cervical Spondylosis,back pain weakness limb neck pain dizziness loss balance
"skin rash,joint pain,skin peeling,silver like dusting,small dents in nails,inflammatory nails",Psoriasis,skin rash joint pain skin peeling silver like dust small dent nails inflammatory nail
"I'm having trouble breathing, and I'm coughing up a lot of mucus. I also have a fever and feel really weak and exhausted.",Bronchial Asthma,trouble breathe cough lot mucus also fever feel really weak exhaust
"vomiting,headache,nausea,spinning movements,loss of balance,unsteadiness",(Vertigo) Paroymsal  Positional Vertigo,vomit headache nausea spin movement loss balance unsteadiness
"stomach pain,acidity,ulcers on tongue,vomiting,cough,chest pain",Gerd,stomach pain acidity ulcer tongue vomit cough chest pain
"joint pain,vomiting,yellowish skin,dark urine,nausea,loss of appetite,abdominal pain,diarrhoea,mild fever,yellowing of eyes,muscle pain",Hepatitis A,joint pain vomit yellowish skin dark urine nausea loss appetite abdominal pain diarrhoea mild fever yellow eye muscle pain
